174.37.240.116 	12/17/2015 1:18:48 PM
50.22.210.141 	12/17/2015 12:52:27 PM
50.22.210.158 	12/17/2015 12:52:27 PM
184.173.136.88 	12/17/2015 12:52:23 PM
184.173.136.82 	12/17/2015 12:52:23 PM
184.173.136.76 	12/17/2015 12:52:23 PM
184.173.136.84 	12/17/2015 11:41:55 AM
50.22.213.141 	12/17/2015 11:30:14 AM
50.22.210.144 	12/17/2015 9:42:01 AM
184.172.19.70 	12/17/2015 9:33:56 AM
208.43.244.170 	12/17/2015 9:30:12 AM
50.22.198.205 	12/17/2015 6:23:16 AM
50.22.210.137 	12/17/2015 6:23:04 AM
184.173.136.75 	12/17/2015 6:22:27 AM
208.43.244.169 	12/17/2015 6:22:16 AM
184.172.19.89 	12/17/2015 6:22:07 AM
184.172.19.92 	12/17/2015 4:50:38 AM
184.172.19.84 	12/17/2015 4:20:54 AM
50.23.142.191 	12/17/2015 3:59:03 AM
50.22.210.33 	12/17/2015 3:20:06 AM
50.23.142.175 	12/17/2015 2:35:42 AM
208.43.96.4 	12/17/2015 2:28:34 AM
184.173.136.80 	12/17/2015 2:06:28 AM
50.22.210.136 	12/16/2015 6:45:53 PM
50.22.227.225 	12/16/2015 6:13:38 PM
50.22.227.226 	12/16/2015 5:36:03 PM
184.173.136.66 	12/16/2015 5:35:56 PM
50.22.210.145 	12/16/2015 5:35:07 PM
184.172.19.79 	12/16/2015 5:34:45 PM
184.173.136.87 	12/16/2015 5:29:28 PM
50.23.142.173 	12/16/2015 4:58:12 PM
184.173.136.85 	12/16/2015 11:39:20 AM
184.173.136.71 	12/16/2015 10:14:44 AM
184.173.136.77 	12/15/2015 10:42:40 PM
208.43.96.7 	12/15/2015 9:45:54 PM
50.22.213.140 	12/15/2015 7:45:34 PM
184.173.136.73 	12/15/2015 1:52:25 PM
50.23.142.161 	12/15/2015 1:25:33 PM
50.22.213.143 	12/15/2015 3:58:39 AM
50.22.210.143 	12/14/2015 8:48:01 PM
50.22.210.148 	12/14/2015 5:37:36 AM
184.172.19.81 	12/14/2015 12:25:39 AM
50.22.227.227 	12/14/2015 12:25:39 AM
50.22.210.130 	12/14/2015 12:25:39 AM
184.172.19.65 	12/14/2015 12:25:37 AM
50.22.210.131 	12/14/2015 12:25:36 AM
50.22.210.134 	12/14/2015 12:25:35 AM
50.22.210.133 	12/14/2015 12:25:35 AM
50.23.142.162 	12/14/2015 12:25:34 AM
50.22.235.124 	12/14/2015 12:25:34 AM
184.173.136.72 	12/13/2015 7:43:59 PM
50.22.210.129 	12/13/2015 11:52:17 AM
50.23.142.163 	12/13/2015 4:59:26 AM
50.23.142.169 	12/13/2015 3:28:10 AM
184.173.136.93 	12/12/2015 9:32:24 AM
184.172.19.66 	12/11/2015 9:41:25 PM
184.173.136.64 	12/11/2015 4:14:56 PM
184.173.136.95 	12/11/2015 12:14:04 PM
208.43.96.6 	12/11/2015 11:58:01 AM
50.22.203.212 	12/11/2015 9:54:33 AM
208.43.244.175 	12/11/2015 3:38:32 AM
50.22.235.125 	12/10/2015 7:40:23 PM
184.173.136.86 	12/10/2015 3:32:32 PM
50.22.227.224 	12/10/2015 12:57:27 PM
184.173.136.94 	12/10/2015 6:56:42 AM
50.23.142.168 	12/09/2015 7:57:02 PM
184.172.19.64 	12/09/2015 7:45:32 PM
208.43.96.5 	12/09/2015 3:24:45 PM
184.173.136.81 	12/09/2015 12:06:09 PM
